"%d:%02d","%d:%02d"
"Please correct the column issues before continuing","Please correct the column issues before continuing"
"Please select profile(s)","Please select profile(s)"
"Port","Port"
"Preparing data","Preparing data"
"Product Attributes","Product Attributes"
"Product Type (system)","Product Type (system)"
"Profile Configuration","Profile Configuration"
"Profile Configuration as JSON","Profile Configuration as JSON"
"Profile Information","Profile Information"
"Profile Status","Profile Status"
"Profile Type","Profile Type"
"Profile does not exist","Profile does not exist"
"Profile paused successfully","Profile paused successfully"
"Profile resumed successfully","Profile resumed successfully"
"Profile started successfully","Profile started successfully"
"Profile stopped successfully","Profile stopped successfully"
"Progress","Progress"
"Qty in Stock","Qty in Stock"
"RapidFlow","RapidFlow"
"RapidFlow Configuration","RapidFlow Configuration"
"RapidFlow Profile Manager","RapidFlow Profile Manager"
"Raw Value","Raw Value"
"Refresh URL Rewrites","Refresh URL Rewrites"
"Refreshing URL Rewrites","Refreshing URL Rewrites"
"Reindex After Import","Reindex After Import"
"Reindex Products","Reindex Products"
"Reindexing Catalog","Reindexing Catalog"
"Reindexing: %s","Reindexing: %s"
"Remote Server","Remote Server"
"Report Dir","Report Dir"
"Resource is closed, unable to write to the file","Resource is closed, unable to write to the file"
"Resume","Resume"
"Retrieving number of rows","Retrieving number of rows"
"Rows","Rows"
"Rows Depends","Rows Depends"
"Rows Empty/Comment","Rows Empty/Comment"
"Rows Found","Rows Found"
"Rows Not Changed","Rows Not Changed"
"Rows Processed","Rows Processed"
"Rows Successful","Rows Successful"
"Rows With Errors","Rows With Errors"
"Run Foreground","Run Foreground"
"Run Status","Run Status"
"Running","Running"
"Running For","Running For"
"Running Profile State '%s'","Running Profile State '%s'"
"Running after import procedures","Running after import procedures"
"SFTP","SFTP"
"Sample for searching","Sample for searching"
"Save And Run","Save And Run"
"Schedule","Schedule"
"Schedule Options","Schedule Options"
"Scheduled","Scheduled"
"Separately","Separately"
"Separator","Separator"
"Server Type","Server Type"
"SingleFeed Profile Manager","SingleFeed Profile Manager"
"Status","Status"
"Status Refresh Delay (sec)","Status Refresh Delay (sec)"
"Stock Status Changed Automatically","Stock Status Changed Automatically"
"Stop","Stop"
"Stopped","Stopped"
"Store View","Store View"
"Successful Updates","Successful Updates"
"System Attributes","System Attributes"
"Target Directories","Target Directories"
"The attribute '%s' does not apply to attribute set '%s', and will not be imported","The attribute '%s' does not apply to attribute set '%s', and will not be imported"
"The attribute '%s' does not apply to product type '%s', and will not be imported","The attribute '%s' does not apply to product type '%s', and will not be imported"
"The attribute '%s' is not used, as it is a dynamic value in this product, and will not be imported","The attribute '%s' is not used, as it is a dynamic value in this product, and will not be imported"
"The profile is already running","The profile is already running"
"The profile is currently running or paused","The profile is currently running or paused"
"The profile is not currently paused","The profile is not currently paused"
"The profile is not currently running","The profile is not currently running"
"The profile is not currently running or paused","The profile is not currently running or paused"
"This upload tab is currently only a simple tool for uploading small files to the import folder.","This upload tab is currently only a simple tool for uploading small files to the import folder."
"Time to wait between processing data batches, may help with server load","Time to wait between processing data batches, may help with server load"
"Title","Title"
"Title Alias","Title Alias"
"Together","Together"
"Total Errors","Total Errors"
"Total Warnings","Total Warnings"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"URL","URL"
"Unable to open the file %s with mode '%s' (%s)","Unable to open the file %s with mode '%s' (%s)"
"Unable to write to the file","Unable to write to the file"
"Unknown","Unknown"
"Unknown field, the column will be ignored","Unknown field, the column will be ignored"
"Unknown option '%s' for product '%s' attribute '%s'","Unknown option '%s' for product '%s' attribute '%s'"
"Uploading file to FTP","Uploading file to FTP"
"Use Config for Backorders","Use Config for Backorders"
"Use Config for Managing Stock","Use Config for Managing Stock"
"Use Config for Minimal Sale Qty","Use Config for Minimal Sale Qty"
"Use Config for Minimal Stock Qty","Use Config for Minimal Stock Qty"
"Use Config for Stock Qty Notifications","Use Config for Stock Qty Notifications"
"Use default values","Use default values"
"Use the following roots: {magento}, {var}, {media}","Use the following roots: {magento}, {var}, {media}"
"User Name","User Name"
"Warnings","Warnings"
"Was not able to copy image file","Was not able to copy image file"
"Week Days","Week Days"
"Will not change attribute set for an existing product","Will not change attribute set for an existing product"
"Will not change product type for an existing product","Will not change product type for an existing product"
"XML","XML"
"Yes","Yes"
"[ROOT]","[ROOT]"
"bz2","bz2"
"gz","gz"
"rows/second","rows/second"
"server time","server time"
"zip","zip"
"Products","Products"
"File Options","File Options"
"Format Options","Format Options"
"Import Options","Import Options"
"Import Columns","Import Columns"
"Upload Files","Upload Files"
"After Import","After Import"
"Export Options","Export Options"
"Export Columns","Export Columns"
"Export Conditions","Export Conditions"
"Catalog Product","Catalog Product"
"EAV Attribute","EAV Attribute"
"EAV Attribute Store Specific","EAV Attribute Store Specific"
"EAV Attribute Extension","EAV Attribute Extension"
"EAV Attribute Product Extension","EAV Attribute Product Extension"
"EAV Attribute Set","EAV Attribute Set"
"EAV Attribute Group","EAV Attribute Group"
"EAV Attribute Within Attribute Set","EAV Attribute Within Attribute Set"
"EAV Attribute Option","EAV Attribute Option"
"EAV Attribute Option Store Specific","EAV Attribute Option Store Specific"
"Catalog Category","Catalog Category"
"Catalog Product Image Store Specific","Catalog Product Image Store Specific"
"Catalog Product Custom Option","Catalog Product Custom Option"
"Catalog Product Custom Option Store Specific","Catalog Product Custom Option Store Specific"
"Catalog Product Custom Option Selection","Catalog Product Custom Option Selection"
"Catalog Product Custom Option Selection Store Specific","Catalog Product Custom Option Selection Store Specific"
"Catalog Product Bundle Option","Catalog Product Bundle Option"
"Catalog Product Bundle Option Store Specific","Catalog Product Bundle Option Store Specific"
"Catalog Product Bundle Option Selection","Catalog Product Bundle Option Selection"
"Catalog Product Related Item","Catalog Product Related Item"
"Catalog Product Up Sell Item","Catalog Product Up Sell Item"
"Catalog Product Cross Sell Item","Catalog Product Cross Sell Item"
"Catalog Product Grouped Item","Catalog Product Grouped Item"
"Catalog Product Super Configurable Attribute","Catalog Product Super Configurable Attribute"
"Catalog Product Super Configurable Attribute Store Specific","Catalog Product Super Configurable Attribute Store Specific"
"Catalog Product Super Configurable Attribute Pricing","Catalog Product Super Configurable Attribute Pricing"
"Catalog Product Super Configurable Item","Catalog Product Super Configurable Item"
"Catalog Product Downloadable","Catalog Product Downloadable"
"Catalog Product Downloadable Store Specific","Catalog Product Downloadable Store Specific"
"Catalog Product Downloadable Website Price","Catalog Product Downloadable Website Price"
"Catalog Product Downloadable Sample","Catalog Product Downloadable Sample"
"Catalog Product Downloadable Sample Store Specific","Catalog Product Downloadable Sample Store Specific"
"Catalog Product Tier Prices","Catalog Product Tier Prices"
